t	x	v
1.85	-0.284035	-4.19616
1.86	-0.325725	-4.13775
1.87	-0.36679	-4.07141
1.88	-0.407153	-3.99728
1.89	-0.446736	-3.91548
1.9	-0.485463	-3.82619
1.91	-0.52326	-3.72956
1.92	-0.560055	-3.62579
1.93	-0.595777	-3.51507
1.94	-0.630357	-3.39762
1.95	-0.663729	-3.27365
1.96	-0.695831	-3.14342
1.97	-0.726598	-3.00716
1.98	-0.755974	-2.86514
1.99	-0.783902	-2.71764
2	-0.810328	-2.56492
2.01	-0.835201	-2.40729
2.02	-0.858474	-2.24505
2.03	-0.880103	-2.07851
2.04	-0.900045	-1.90799
2.05	-0.918264	-1.73381
2.06	-0.934722	-1.55631
2.07	-0.949391	-1.37582
2.08	-0.96224	-1.1927
2.09	-0.973245	-1.0073
2.1	-0.982387	-0.819962
2.11	-0.989646	-0.631056
2.12	-0.995009	-0.440941
2.13	-0.998465	-0.249981
2.14	-1.00001	-0.0585415
2.15	-0.999637	0.13301
2.16	-0.99735	0.324307
2.17	-0.993152	0.514983
2.18	-0.987051	0.704672
2.19	-0.979059	0.893011
2.2	-0.969192	1.07964
2.21	-0.957467	1.2642
2.22	-0.943909	1.44634
2.23	-0.928541	1.62571
2.24	-0.911395	1.80196
2.25	-0.892503	1.97476
2.26	-0.871901	2.14378
2.27	-0.849628	2.30869
2.28	-0.825728	2.46918
2.29	-0.800246	2.62494
2.3	-0.77323	2.77566
2.31	-0.744733	2.92108
2.32	-0.714809	3.06089
2.33	-0.683516	3.19484
2.34	-0.650913	3.32267
2.35	-0.617063	3.44414
2.36	-0.582031	3.559
2.37	-0.545884	3.66705
2.38	-0.50869	3.76807
2.39	-0.470523	3.86188
2.4	-0.431453	3.94828
2.41	-0.391557	4.02712
2.42	-0.350911	4.09824
2.43	-0.309593	4.16152
2.44	-0.267681	4.21682
2.45	-0.225257	4.26404
2.46	-0.182401	4.30309
2.47	-0.139195	4.3339
2.48	-0.0957229	4.35641
2.49	-0.0520671	4.37057
2.5	-0.00831163	4.37635
2.51	0.0354599	4.37375
2.52	0.0791634	4.36278
2.53	0.122715	4.34344
2.54	0.166032	4.31578
2.55	0.209031	4.27985
2.56	0.25163	4.23573
2.57	0.293746	4.18349
2.58	0.3353	4.12323
2.59	0.376211	4.05508
2.6	0.416401	3.97915
2.61	0.455794	3.8956
2.62	0.494314	3.80459
2.63	0.531886	3.70629
2.64	0.56844	3.60089
2.65	0.603905	3.48859
2.66	0.638212	3.3696
2.67	0.671297	3.24416
2.68	0.703096	3.11251
2.69	0.733548	2.97489
2.7	0.762595	2.83157
2.71	0.79018	2.68283
2.72	0.816252	2.52895
2.73	0.84076	2.37022
2.74	0.863657	2.20695
2.75	0.8849	2.03945
2.76	0.904447	1.86804
2.77	0.922261	1.69306
2.78	0.938309	1.51483
2.79	0.952559	1.3337
2.8	0.964984	1.15001
2.81	0.97556	0.964125
2.82	0.984267	0.776388
2.83	0.991089	0.587164
2.84	0.996011	0.396814
2.85	0.999026	0.205704
2.86	1.00013	0.0142002
2.87	0.999311	-0.177331
2.88	0.996581	-0.368523
2.89	0.991941	-0.559009
2.9	0.985401	-0.748425
2.91	0.976974	-0.936406
2.92	0.966674	-1.12259
2.93	0.954523	-1.30663
2.94	0.940542	-1.48817
2.95	0.92476	-1.66685
2.96	0.907206	-1.84234
2.97	0.887914	-2.0143
2.98	0.866921	-2.1824
2.99	0.844267	-2.34632
3	0.819995	-2.50575
3.01	0.794153	-2.66037
3.02	0.766789	-2.8099
3.03	0.737956	-2.95404
3.04	0.707709	-3.09253
3.05	0.676106	-3.22509
3.06	0.643207	-3.35147
3.07	0.609077	-3.47143
3.08	0.573779	-3.58474
3.09	0.537383	-3.69119
3.1	0.499956	-3.79056
3.11	0.461572	-3.88267
3.12	0.422303	-3.96734
3.13	0.382226	-4.04441
3.14	0.341416	-4.11373
3.15	0.299951	-4.17517
3.16	0.257912	-4.22861
3.17	0.215379	-4.27395
3.18	0.172434	-4.3111
3.19	0.129158	-4.33999
3.2	0.085634	-4.36057
3.21	0.0419463	-4.3728
3.22	-0.00182184	-4.37664
3.23	-0.0455865	-4.3721
3.24	-0.0892639	-4.35919
3.25	-0.13277	-4.33792
3.26	-0.176022	-4.30834
3.27	-0.218937	-4.27051
3.28	-0.261433	-4.22449
3.29	-0.303427	-4.17039
3.3	-0.344841	-4.10829
3.31	-0.385593	-4.03832
3.32	-0.425607	-3.96062
3.33	-0.464806	-3.87532
3.34	-0.503114	-3.7826
3.35	-0.540458	-3.68264
3.36	-0.576767	-3.57562
3.37	-0.611971	-3.46175
3.38	-0.646003	-3.34124
3.39	-0.678797	-3.21434
3.4	-0.71029	-3.08128
3.41	-0.740423	-2.94231
3.42	-0.769137	-2.79771
3.43	-0.796378	-2.64774
3.44	-0.822093	-2.49271
3.45	-0.846233	-2.33289
3.46	-0.868751	-2.16861
3.47	-0.889606	-2.00018
3.48	-0.908756	-1.82791
3.49	-0.926165	-1.65214
3.5	-0.941799	-1.4732
3.51	-0.955629	-1.29144
3.52	-0.967629	-1.10721
3.53	-0.977774	-0.920851
3.54	-0.986047	-0.732732
3.55	-0.99243	-0.543208
3.56	-0.996912	-0.352644
3.57	-0.999484	-0.161404
3.58	-1.00014	0.0301455
3.59	-0.998882	0.221637
3.6	-0.995709	0.412705
3.61	-0.990629	0.602982
3.62	-0.98365	0.792104
3.63	-0.974787	0.979708
3.64	-0.964057	1.16544
3.65	-0.95148	1.34893
3.66	-0.937079	1.52984
